GROUP_NAME,GRANT_LEVEL,ORGANIZER,URL,CITY,COUNTRY
R User Group Sylhet,Vector,Ancon Paul Bolaram,https://groups.google.com/forum/#!forum/r-user-group-sylhet,Sylhet,Bangladesh
CanteburyR,Vector,Amit Kohli,https://www.meetup.com/Canterbury-R-Users-Group/,Cantebury,United Kingdom
Asunción useR Group Paraguay,Vector,Paul A. Ervin,https://www.meetup.com/Asuncion-useR-Group-Paraguay-Data-and-Statistics-in-R/,Asunción,Paraguay
R-Ladies Istanbul,Vector,Hazel Kavili,https://www.meetup.com/R-Ladies-Istanbul/,Istanbul,Turkey
Warwick R User Group,Vector,David Selby,https://www.meetup.com/Warwick-useRs/,Coventry,United Kingdom
R -Ladies Montevideo,Vector,Daniela Vazquez,https://www.meetup.com/rladies-montevideo/,Montevideo,Uruguay
R-Ladies CDMX,Vector,Maria Teresa Ortiz Mancera and Silvia Gutiérrez de la Torre,https://www.meetup.com/rladiescdmx/,Mexico City,Mexico
Boise State R User's Group,Vector,Matthew Clark,https://github.com/bsurc/rug,Boise,USA
Tulane University R Fans (TURF),Vector,Pawel Waryszak,https://tulaneuniversityrfans.wordpress.com/,New Orleans ,USA
Tampa R User Group,Vector,Travis Gerke,https://www.meetup.com/Tampa-R-Users-Group/,Tampa,USA
R-Ladies Charlottesville,Vector,Samantha Toet,https://www.meetup.com/rladies-charlottesville/,Charlottesville,USA
R-Ladies Columbus,Vector,Ezgi Karaesmen,https://www.meetup.com/RLadies-Columbus/,Columbus,USA
R-Ladies Sarasota,Vector,Fanny Chow,http://rladies.org/,Sarasota,USA
R-Ladies Rio,Vector,Celina Rebello,https://www.meetup.com/R-Ladies-Rio-de-Janeiro/,Rio-de-Janeiro,Brazil
R-Ladies Dublin,Vector,Jo Niec,https://www.meetup.com/preview/R-Ladies-Dublin,Dublin,Ireland
R-Ladies Nashville,Vector,Jennifer Thompson,https://www.meetup.com/rladies-nashville/,Nashville,USA
R-Ladies Madrid,Vector,Bea Hernández,https://www.meetup.com/preview/rladies-madrid,Madrid,Spain
London BeginR,Vector ,Moez Katet,https://www.meetup.com/London-beginR/,London,United Kingdom
